998542,BrandonRodriguez,BrandonRodriguez@gmail.com,125,91,python
959844,ThomasWells,ThomasWells@gmail.com,125,87,python
998243,BrandonJoyce,BrandonJoyce@gmail.com,125,98,python
994843,MichaelMcdonald,MichaelMcdonald@gmail.com,125,88,python
998643,MichaelHenderson,MichaelHenderson@gmail.com,125,78,python
998743,JenniferWagner,JenniferWagner@gmail.com,125,45,python
949843,HunterElliott,HunterElliott@gmail.com,125,46,python
949843,AnthonyBarrett MD,AnthonyBarrettMD@gmail.com,125,76,python
993843,ThomasHurley,ThomasHurley@gmail.com,125,98,python
756657,KevinDiaz,KevinDiaz@gmail.com,125,92,python
867898,RichardHall,RichardHall@gmail.com,125,82,python
323243,AllisonPorter,AllisonPorter@gmail.com,125,23,python
43434,JefferyWarner,JefferyWarner@gmail.com,125,81,python
43432,ChristopherSherman,ChristopherSherman@gmail.com,125,69,python
43421,JamesYoder,JamesYoder@gmail.com,125,54,python
434241,BeckyBrennan,BeckyBrennan@gmail.com,125,34,python
52323,Smith,Smith@gmail.com,125,75,python
897563,klausJ,KlausJ@gmail.com,125,76,python
