998542,BrandonRodriguez,BrandonRodriguez@gmail.com,124,34,c++
959844,ThomasWells,ThomasWells@gmail.com,124,23,c++
998243,BrandonJoyce,BrandonJoyce@gmail.com,124,54,c++
994843,MichaelMcdonald,MichaelMcdonald@gmail.com,124,69,c++
998643,MichaelHenderson,MichaelHenderson@gmail.com,124,75,c++
998743,JenniferWagner,JenniferWagner@gmail.com,124,76,c++
949843,HunterElliott,HunterElliott@gmail.com,124,92,c++
949843,AnthonyBarrett MD,AnthonyBarrettMD@gmail.com,124,82,c++
993843,ThomasHurley,ThomasHurley@gmail.com,124,81,c++
756657,KevinDiaz,KevinDiaz@gmail.com,124,76,c++
867898,RichardHall,RichardHall@gmail.com,124,98,c++
323243,AllisonPorter,AllisonPorter@gmail.com,124,45,c++
43434,JefferyWarner,JefferyWarner@gmail.com,124,88,c++
43432,ChristopherSherman,ChristopherSherman@gmail.com,124,98,c++
43421,JamesYoder,JamesYoder@gmail.com,124,87,c++
434241,BeckyBrennan,BeckyBrennan@gmail.com,124,46,c++
52323,Smith,Smith@gmail.com,124,78,c++
897563,klausJ,KlausJ@gmail.com,124,76,c++
